,ticker,netIncome,ROA,sharesOutstanding,earningsYield,increaseDaysSalesOutstanding,declinesInDepreciation,retainedEarningsToTotalAssets,operatingCashflow,ltDebtVsAssets,grossMargins,returnOnCapital,growingDaysSalesOfInventory,salesToAssets,returnOnTotalAssets,qualityOfEarnings,currentRatio,assetTurnover,netIncomeMinusCashflow,increasingCurrentAssetsOverRevenues,workingCapitalToTotalAssets,marketCapToTotalLiabilities,futurePerformance
2328,AKRO,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,-0.3752739089876534
2329,ARPO,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,True,True,False,-0.5201974165838262
2330,BCEL,False,False,True,False,False,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,0.08675074142911553
2331,ATY,False,True,True,False,False,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,-0.6197580599418913
2332,ABST,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,-0.44850190091931347
2333,EDSA,False,False,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,False,True,False,-0.14745306957207507
2334,MBRX,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,True,True,False,0.4024390220263873
2335,BTN,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,True,False,True,True,True,False,0.9319726931259383
2336,BATL,False,False,True,False,False,True,True,False,True,False,False,False,True,True,False,True,True,True,False,True,True,-1.1328021211337325
2337,BFI,True,True,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True,False,False,True,False,-0.19377436971777623
2338,BBQ,False,False,False,False,True,False,True,True,True,True,False,False,False,True,True,True,False,True,False,True,False,0.44923078096829927
2339,CMP,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,False,0.032810521989765855
2340,CYD,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,-0.21219226253704432
2341,KODK,True,False,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,-0.6786114459709878
2342,PMD,True,False,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True,False,True,False,1.0982141916316994
2343,CIXX,True,False,False,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,False,-0.0
2344,MLP,False,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,False,True,True,True,False,0.06376809884893818
2345,SACH,True,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,False,0.2599469559765467
2346,CYRN,False,True,True,False,True,True,True,False,False,True,False,True,True,True,False,True,True,True,False,True,False,0.8279570264614498
2347,PHIO,False,False,False,False,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,True,False,6.819905602057225
2348,MAG,False,False,True,False,True,True,True,False,False,False,False,False,True,True,False,True,True,True,False,True,False,-0.16306620838906402
2349,CVM,False,False,False,False,True,True,True,False,True,True,False,True,True,True,False,True,True,True,False,True,False,-0.3320312450523489
2350,CLDX,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,True,False,-0.7972199417907743
2351,SOLO,False,False,False,False,True,True,True,False,True,True,False,True,True,True,False,True,True,True,False,True,False,-0.08203126673470289
2352,MNDO,True,False,False,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,0.01709410330718167
2353,ZOM,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,False,True,False,3.313953247608342
2354,NFJ,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,True,False,False,True,True,False,0.07645526472125948
2355,DVCR,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,0.4411764582135689
2356,NAK,False,False,True,False,True,True,True,False,False,False,False,False,True,True,False,True,True,True,False,True,False,-0.33663364057855927
2357,DFFN,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,True,False,1.6049381344261342
2358,NXE,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,True,True,False,True,False,-0.1913580623928174
